500 Hyde Street,Tenderloin,San Francisco,9,37.7856488,-122.4161542
900 Sutter Street,Lower Nob Hill,San Francisco,20,37.7884664,-122.4153256
3400 Pierce Street,Marina District,San Francisco,21,37.8015432,-122.4397215
1700 Egbert Avenue,Bayview,San Francisco,44,37.7277037,-122.3965587
1400 Thomas Avenue,Bayview,San Francisco,78,37.7284961,-122.3875563
1500 California Street,Polk Gulch,San Francisco,79,37.790998,-122.4192735
0 Farren Street,Western Addition,San Francisco,80,37.7818872,-122.4363239
0 Berkeley Way,Diamond Heights,San Francisco,81,37.7389192,-122.4382607
2700 25th Street,Mission District,San Francisco,82,37.7518036,-122.4052306
1200 Hayes Street,Western Addition,San Francisco,113,37.7753645,-122.4360878
2200 Franklin Street,Pacific Heights,San Francisco,165,37.7950415,-122.4247597
1800 Vicente Street,Sunset District,San Francisco,186,37.7389929,-122.4863054
1300 15th Street,Mission District,San Francisco,206,37.7670069,-122.4144216
1100 Guerrero Street,Mission District,San Francisco,207,37.753692,-122.4233375
600 Alabama Street,Mission District,San Francisco,208,37.7614776,-122.4124375
300 Wilde Avenue,Visitacion Valley,San Francisco,209,37.7163922,-122.4024039
100 Ramsell Street,Oceanview,San Francisco,210,37.7129389,-122.466212
200 16th Avenue,Richmond District,San Francisco,211,37.7843317,-122.475385
500 Washington Street,Financial District,San Francisco,212,37.7959296,-122.402083
Chinatown / North Beach Campus,Russian Hill,San Francisco,299,37.8010106,-122.4150923
0 Bass Court,Bayview,San Francisco,302,37.7816139,-122.4019456
1300 Franklin Street,Western Addition,San Francisco,434,37.7864382,-122.423249
New Corona Heights Trail,The Castro,San Francisco,443,37.7657184,-122.4385243
900 Divisadero Street,Western Addition,San Francisco,445,37.7778174,-122.4383411
1200 Green Street,Russian Hill,San Francisco,452,37.7983538,-122.4190115
200 Beach Street,North Beach,San Francisco,532,37.8078529,-122.4126454
1400 Grant Avenue,North Beach,San Francisco,533,37.7998682,-122.4073547
200 Walnut Street,Presidio Heights,San Francisco,534,37.7895976,-122.4487364
0 Rossi Avenue,Richmond District,San Francisco,535,37.7787342,-122.4563216
