CNN,ST_NAMES,LAT,LONG
20010000,"['GILROY ST', 'JAMESTOWN AVE']",37.71555762,-122.3894377
20011000,"['INGERSON AVE', 'GIANTS DR']",37.71629822,-122.3881305
20013000,"['IGNACIO AVE', 'GILROY ST']",37.71608699,-122.3889778
20034000,"['DONAHUE ST', 'CLEO RAND AVE']",37.72856818,-122.3703524
20039000,"['JERROLD AVE', 'EARL ST']",37.72925451,-122.3725836
20041000,"['EARL ST', 'INNES AVE']",37.72987388,-122.3720057
20044000,"['JERROLD AVE', 'NORTHRIDGE RD', 'DORMITORY RD']",37.73017668,-122.3742173
20046000,"['KISKA RD', 'KIRKWOOD AVE', 'DORMITORY RD']",37.72965969,-122.3749281
20051000,"['FITZGERALD AVE', 'DONAHUE ST']",37.71568214,-122.381971
20056000,"['ARELIOUS WALKER DR', 'INNES AVE']",37.73093607,-122.3738904
20057000,"['ARELIOUS WALKER DR', 'HUDSON AVE']",37.73156106,-122.3733263
20058000,"['KISKA RD', 'REARDON RD']",37.73001583,-122.3772026
20060000,"['NORTHRIDGE RD', 'HARBOR RD']",37.73100987,-122.3769995
20061000,"['INGALLS ST', 'HARBOR RD']",37.73338073,-122.3799317
20064000,"['BALDWIN CT', 'OAKDALE AVE']",37.72948885,-122.3813991
20065000,"['GRIFFITH ST', 'OAKDALE AVE']",37.72823179,-122.3791747
20066000,"['GRIFFITH ST', 'LA SALLE AVE', 'NAVY RD']",37.72894233,-122.3785418
20067000,"['GRIFFITH ST', 'REVERE AVE']",37.72636352,-122.3808171
20070000,"['GRIFFITH ST', 'THOMAS AVE']",37.72510825,-122.3819385
20072000,"['PALOU AVE', 'CRISP RD']",37.72778541,-122.3799919
20073000,"['GRIFFITH ST', 'PALOU AVE']",37.72761779,-122.3796966
20074000,"['CRISP RD', 'QUESADA AVE']",37.72780466,-122.3816909
20075000,"['GRIFFITH ST', 'QUESADA AVE']",37.72699066,-122.3802568
20076000,"['CRISP RD', 'REVERE AVE']",37.72721673,-122.3823203
20077000,"['KISKA RD', 'INGALLS ST']",37.73110942,-122.3795519
20078000,"['INGALLS ST', 'ROSIE LEE LN', 'NORTHRIDGE RD']",37.73167941,-122.3793471
20081000,"['INGALLS ST', 'BEATRICE LN']",37.73071901,-122.3799012
20082000,"['BEATRICE LN', 'ESPANOLA ST']",37.73090118,-122.380149
20083000,"['ESPANOLA ST', 'MATTHEW CT']",37.7312829,-122.3799344
20084000,"['ROSIE LEE LN', 'ESPANOLA ST']",37.7317017,-122.3796837
20085000,"['HUDSON AVE', 'INGALLS ST']",37.73246457,-122.3795961
20086000,"['BERTHA LN', 'HARBOR RD']",37.73403385,-122.3812842
20087000,"['BERTHA LN', 'HUDSON AVE']",37.73242217,-122.3801846
20089000,"['BEATRICE LN', 'LILLIAN ST']",37.73138779,-122.3811465
20090000,"['LILLIAN ST', 'ROSIE LEE LN']",37.73207905,-122.3805289
20092000,"['EGBERT AVE', 'ARELIOUS WALKER DR']",37.71840736,-122.3851571
20093000,"['GRIFFITH ST', 'CARROLL AVE']",37.72074631,-122.3858691
20096000,"['GRIFFITH ST', 'GILMAN AVE']",37.71823564,-122.3881369
20097000,"['GILMAN AVE', 'GIANTS DR']",37.717509,-122.3868497
20098000,"['GRIFFITH ST', 'CAMERON WAY']",37.72005455,-122.385609
20099000,"['NICHOLS WAY', 'CAMERON WAY']",37.72012445,-122.3885641
20100000,"['CAMERON WAY', 'NICHOLS WAY']",37.72035703,-122.3862431
20101000,"['GILROY ST', 'INGERSON AVE']",37.7168793,-122.389136
20102000,"['CORONADO ST', 'INGERSON AVE']",37.71749791,-122.390205
20103000,"['GRIFFITH ST', 'INGERSON AVE']",37.71696129,-122.3892777
20104000,"['CAMERON WAY', 'FITZGERALD AVE']",37.7196775,-122.3891392
20105000,"['GRIFFITH ST', 'FITZGERALD AVE']",37.7187605,-122.3876613
20107000,"['FITZGERALD AVE', 'HAWES ST']",37.71992743,-122.389459
20108000,"['DOUBLE ROCK ST', 'CAMERON WAY']",37.7206928,-122.3880558
20110000,"['CARROLL AVE', 'HAWES ST']",37.72181326,-122.3877462
20111000,"['HAWES ST', 'DONNER AVE']",37.72117507,-122.3883333
20112000,"['HAWES ST', 'ARMSTRONG AVE']",37.72303967,-122.3866277
20113000,"['ARMSTRONG AVE', 'INGALLS ST']",37.72410023,-122.3884962
20114000,"['INGALLS ST', 'BANCROFT AVE']",37.72348162,-122.3890527
20116000,"['GRIFFITH ST', 'SHAFTER AVE']",37.72573637,-122.3813774
20117000,"['HAWES ST', 'QUESADA AVE']",37.72805144,-122.3821257
20118000,"['HAWES ST', 'PALOU AVE']",37.72867801,-122.3815644
20119000,"['SHAFTER AVE', 'HAWES ST']",37.7267983,-122.3832483
20120000,"['HAWES ST', 'REVERE AVE']",37.72742487,-122.382687
20121000,"['HAWES ST', 'THOMAS AVE']",37.72617078,-122.3838104
20122000,"['VAN DYKE AVE', 'HAWES ST']",37.72492198,-122.3849414
