,CNN,ST_NAMES,LAT,LONG,SP
0,20010000,"['GILROY ST', 'JAMESTOWN AVE']",37.71555762,-122.38943770000002,51652000
1,20010000,"['GILROY ST', 'JAMESTOWN AVE']",37.71555762,-122.38943770000002,20435000
2,20010000,"['GILROY ST', 'JAMESTOWN AVE']",37.71555762,-122.38943770000002,28144000
3,20011000,"['INGERSON AVE', 'GIANTS DR']",37.71629822,-122.38813049999999,20097000
4,20011000,"['INGERSON AVE', 'GIANTS DR']",37.71629822,-122.38813049999999,20011000
5,20011000,"['INGERSON AVE', 'GIANTS DR']",37.71629822,-122.38813049999999,20101000
6,20011000,"['INGERSON AVE', 'GIANTS DR']",37.71629822,-122.38813049999999,20103000
7,20013000,"['IGNACIO AVE', 'GILROY ST']",37.71608699,-122.38897779999999,51652000
8,20013000,"['IGNACIO AVE', 'GILROY ST']",37.71608699,-122.38897779999999,20010000
9,20013000,"['IGNACIO AVE', 'GILROY ST']",37.71608699,-122.38897779999999,51653000
10,20034000,"['DONAHUE ST', 'CLEO RAND AVE']",37.72856818,-122.3703524,50752000
11,20034000,"['DONAHUE ST', 'CLEO RAND AVE']",37.72856818,-122.3703524,20034000
12,20034000,"['DONAHUE ST', 'CLEO RAND AVE']",37.72856818,-122.3703524,33121000
13,20034000,"['DONAHUE ST', 'CLEO RAND AVE']",37.72856818,-122.3703524,35028000
14,20039000,"['JERROLD AVE', 'EARL ST']",37.72925451,-122.37258359999998,33128000
15,20039000,"['JERROLD AVE', 'EARL ST']",37.72925451,-122.37258359999998,20041000
16,20039000,"['JERROLD AVE', 'EARL ST']",37.72925451,-122.37258359999998,33121000
17,20039000,"['JERROLD AVE', 'EARL ST']",37.72925451,-122.37258359999998,20044000
18,20041000,"['EARL ST', 'INNES AVE']",37.72987388,-122.3720057,33130000
19,20041000,"['EARL ST', 'INNES AVE']",37.72987388,-122.3720057,20039000
20,20041000,"['EARL ST', 'INNES AVE']",37.72987388,-122.3720057,20056000
21,20041000,"['EARL ST', 'INNES AVE']",37.72987388,-122.3720057,35028000
22,20044000,"['JERROLD AVE', 'NORTHRIDGE RD', 'DORMITORY RD']",37.73017668,-122.3742173,20046000
23,20044000,"['JERROLD AVE', 'NORTHRIDGE RD', 'DORMITORY RD']",37.73017668,-122.3742173,20044000
24,20044000,"['JERROLD AVE', 'NORTHRIDGE RD', 'DORMITORY RD']",37.73017668,-122.3742173,20039000
25,20044000,"['JERROLD AVE', 'NORTHRIDGE RD', 'DORMITORY RD']",37.73017668,-122.3742173,20060000
26,20044000,"['JERROLD AVE', 'NORTHRIDGE RD', 'DORMITORY RD']",37.73017668,-122.3742173,20078000
27,20046000,"['KISKA RD', 'KIRKWOOD AVE', 'DORMITORY RD']",37.72965969,-122.37492809999999,20044000
28,20046000,"['KISKA RD', 'KIRKWOOD AVE', 'DORMITORY RD']",37.72965969,-122.37492809999999,20046000
29,20046000,"['KISKA RD', 'KIRKWOOD AVE', 'DORMITORY RD']",37.72965969,-122.37492809999999,20058000
30,20046000,"['KISKA RD', 'KIRKWOOD AVE', 'DORMITORY RD']",37.72965969,-122.37492809999999,33128000
31,20046000,"['KISKA RD', 'KIRKWOOD AVE', 'DORMITORY RD']",37.72965969,-122.37492809999999,20077000
32,20051000,"['FITZGERALD AVE', 'DONAHUE ST']",37.71568214,-122.381971,33644000
33,20051000,"['FITZGERALD AVE', 'DONAHUE ST']",37.71568214,-122.381971,33226000
34,20051000,"['FITZGERALD AVE', 'DONAHUE ST']",37.71568214,-122.381971,33220000
35,20051000,"['FITZGERALD AVE', 'DONAHUE ST']",37.71568214,-122.381971,33223000
36,20056000,"['ARELIOUS WALKER DR', 'INNES AVE']",37.73093607,-122.37389040000001,50763000
37,20056000,"['ARELIOUS WALKER DR', 'INNES AVE']",37.73093607,-122.37389040000001,20057000
38,20056000,"['ARELIOUS WALKER DR', 'INNES AVE']",37.73093607,-122.37389040000001,20163000
39,20056000,"['ARELIOUS WALKER DR', 'INNES AVE']",37.73093607,-122.37389040000001,20041000
40,20057000,"['ARELIOUS WALKER DR', 'HUDSON AVE']",37.73156106,-122.3733263,20056000
41,20057000,"['ARELIOUS WALKER DR', 'HUDSON AVE']",37.73156106,-122.3733263,50763000
42,20057000,"['ARELIOUS WALKER DR', 'HUDSON AVE']",37.73156106,-122.3733263,51855000
