,s,s*
0,"(37.7775275, -122.3911201)","(37.777976, -122.3916917)"
1,"(37.7740429, -122.395587)","(37.7744975, -122.3961819)"
2,"(37.7740429, -122.395587)","(37.77573, -122.3933992)"
3,"(37.7761888, -122.3939857)","(37.77573, -122.3933992)"
4,"(37.7761888, -122.3939857)","(37.7763064, -122.3938354)"
5,"(37.774425, -122.3915996)","(37.7745146, -122.3915394)"
6,"(37.7753545, -122.3972398)","(37.777103, -122.3949973)"
7,"(37.7753545, -122.3972398)","(37.7759585, -122.3979976)"
8,"(37.77573, -122.3933992)","(37.7753679, -122.3927923)"
9,"(37.77573, -122.3933992)","(37.7740429, -122.395587)"
10,"(37.77573, -122.3933992)","(37.7758339, -122.3932673)"
11,"(37.7759585, -122.3979976)","(37.776574, -122.3987697)"
12,"(37.7759585, -122.3979976)","(37.7753545, -122.3972398)"
13,"(37.7759585, -122.3979976)","(37.7777178, -122.3957703)"
14,"(37.778855, -122.3927644)","(37.777103, -122.3949973)"
15,"(37.7744653, -122.3916329)","(37.7753679, -122.3927923)"
16,"(37.7744653, -122.3916329)","(37.774425, -122.3915996)"
17,"(37.7777178, -122.3957703)","(37.777103, -122.3949973)"
18,"(37.7777178, -122.3957703)","(37.7759585, -122.3979976)"
19,"(37.777103, -122.3949973)","(37.778855, -122.3927644)"
20,"(37.777103, -122.3949973)","(37.7764146, -122.3941277)"
21,"(37.777103, -122.3949973)","(37.7753545, -122.3972398)"
22,"(37.7783334, -122.3965439)","(37.776574, -122.3987697)"
23,"(37.7783334, -122.3965439)","(37.7777178, -122.3957703)"
24,"(37.774644, -122.3963772)","(37.7744975, -122.3961819)"
25,"(37.7753679, -122.3927923)","(37.7744653, -122.3916329)"
26,"(37.7753679, -122.3927923)","(37.7758339, -122.3932673)"
27,"(37.7795658, -122.3980878)","(37.7783334, -122.3965439)"
28,"(37.776574, -122.3987697)","(37.7783334, -122.3965439)"
29,"(37.776574, -122.3987697)","(37.7759585, -122.3979976)"
30,"(37.7764146, -122.3941277)","(37.7761888, -122.3939857)"
31,"(37.7764146, -122.3941277)","(37.777103, -122.3949973)"
32,"(37.7764146, -122.3941277)","(37.774644, -122.3963772)"
33,"(37.7781551, -122.3919168)","(37.778855, -122.3927644)"
34,"(37.7781551, -122.3919168)","(37.7764146, -122.3941277)"
35,"(37.7781551, -122.3919168)","(37.777976, -122.3916917)"
36,"(37.7744975, -122.3961819)","(37.7761888, -122.3939857)"
37,"(37.7744975, -122.3961819)","(37.774644, -122.3963772)"
38,"(37.7744975, -122.3961819)","(37.7740429, -122.395587)"
39,"(37.7745146, -122.3915394)","(37.774425, -122.3915996)"
40,"(37.7745146, -122.3915394)","(37.7744653, -122.3916329)"
41,"(37.7763064, -122.3938354)","(37.7764146, -122.3941277)"
42,"(37.7763064, -122.3938354)","(37.777976, -122.3916917)"
43,"(37.7758339, -122.3932673)","(37.7775275, -122.3911201)"
44,"(37.7758339, -122.3932673)","(37.7763064, -122.3938354)"
45,"(37.7758339, -122.3932673)","(37.77573, -122.3933992)"
46,"(37.777976, -122.3916917)","(37.7781551, -122.3919168)"
47,"(37.777976, -122.3916917)","(37.7775275, -122.3911201)"
