	street_name	neighborhood
0	148	44
1	187	22
2	131	23
3	69	2
4	62	2
5	64	33
6	8	50
7	2	9
8	110	25
9	45	50
10	101	32
11	73	43
12	47	25
13	40	25
14	157	25
15	129	48
16	29	30
17	77	37
18	152	14
19	188	38
20	1	2
21	52	50
22	192	45
23	184	50
24	44	38
25	82	29
26	59	29
27	95	36
28	14	37
29	180	13
30	153	50
31	23	26
32	60	27
33	159	5
34	89	44
35	87	44
36	58	23
37	145	17
38	176	1
39	133	10
40	35	28
41	172	34
42	115	25
43	123	12
44	160	12
45	92	31
46	76	43
47	50	43
48	78	4
49	164	37
50	4	48
51	43	40
52	158	31
53	99	43
54	104	37
55	3	27
56	102	50
57	146	28
58	36	22
59	112	7
60	106	37
61	42	34
62	57	43
63	170	37
64	162	22
65	117	7
66	94	41
67	56	43
68	130	37
69	181	5
70	147	44
71	127	6
72	24	23
73	105	32
74	109	32
75	97	32
76	72	50
77	171	50
78	15	12
79	81	12
80	150	12
81	90	31
82	12	40
83	39	50
84	124	6
85	27	45
86	38	42
87	121	25
88	168	26
89	66	28
90	63	37
91	55	35
92	141	43
93	161	24
94	0	49
95	49	43
96	22	20
97	79	37
98	183	42
99	86	16
100	151	12
101	177	12
102	6	8
103	26	3
104	144	8
105	191	19
106	46	19
107	74	19
108	85	44
109	84	23
110	169	21
111	16	29
112	61	38
113	41	27
114	93	14
115	185	22
116	91	44
117	182	42
118	166	42
119	154	46
120	142	11
121	137	47
122	132	25
123	186	10
124	134	28
125	155	28
126	30	15
127	107	25
128	116	25
129	5	41
130	165	3
131	17	3
132	25	20
133	119	20
134	100	43
135	80	37
136	118	4
137	178	37
138	71	43
139	9	49
140	13	49
141	10	18
142	83	30
143	21	30
144	70	43
145	174	37
146	175	37
147	149	20
148	67	2
149	37	34
150	193	0
151	65	48
152	167	48
153	138	48
154	122	42
155	111	38
156	98	32
157	54	50
158	128	50
159	7	42
160	113	25
161	18	3
162	32	31
163	126	12
164	120	48
165	140	19
166	20	49
167	108	43
168	11	44
169	194	2
170	156	37
171	28	50
172	114	25
173	143	34
174	53	29
175	88	30
176	68	43
177	190	2
178	136	2
179	33	39
180	19	45
181	163	3
182	173	8
183	139	18
184	179	1
185	96	23
186	34	49
187	125	42
188	48	19
189	135	48
190	189	2
191	51	2
192	31	3
193	75	50
194	103	43
