CNN,SP
20480000,20566000
20480000,20480000
20480000,20568000
20480000,20479000
22528000,33432000
22528000,22534000
22528000,22533000
22528000,22537000
22528000,22530000
22528000,51153000
21995000,21997000
21995000,22278000
21995000,21996000
21995000,21984000
21097000,50909000
21097000,21099000
21097000,21039000
21097000,33299000
51413000,51413000
51413000,51250000
51413000,51252000
25002000,24989000
25002000,25013000
25002000,25003000
51271000,51225000
51271000,51270000
51271000,51273000
35010000,25912000
35010000,50316000
35010000,30070000
27263000,27264000
27263000,27294000
27263000,27266000
27263000,27262000
33620000,23871000
33620000,23872000
33620000,23878000
33620000,23869000
20622000,20642000
20622000,33158000
20622000,20621000
26030000,26039000
26030000,26050000
26030000,26052000
26030000,26027000
27689000,23415000
27689000,27691000
27689000,27690000
27689000,27678000
21540000,21541000
21540000,21502000
21540000,21539000
21540000,21543000
21758000,33020000
21758000,22064000
21758000,21757000
21758000,22068000
22741000,33416000
22741000,33415000
22741000,51079000
22741000,23022000
24019000,24021000
24019000,24016000
24019000,24004000
24019000,24020000
22909000,22905000
22909000,22914000
22909000,22908000
22909000,22904000
26280000,26277000
26280000,26281000
26280000,26274000
26280000,26283000
30065000,24847000
30065000,24857000
30065000,50305000
30065000,30065000
20349000,20356000
20349000,20352000
20349000,20344000
20349000,20348000
22881000,35045000
22881000,22882000
22881000,22880000
22610000,22611000
22610000,22592000
22610000,22655000
22883000,22880000
22883000,22872000
22883000,35044000
22883000,33596000
34100000,34101000
34100000,34126000
34100000,34127000
27132000,27133000
27132000,32875000
27132000,32871000
50919000,33295000
50919000,21144000
21201000,21190000
21201000,21200000
21201000,21256000
21201000,21235000
26916000,26918000
26916000,26849000
26916000,26917000
26916000,26915000
27558000,27552000
27558000,27841000
27558000,27557000
27558000,27839000
21528000,21522000
21528000,21529000
21528000,21564000
21528000,21527000
25723000,25721000
25723000,25796000
25723000,25722000
25723000,25725000
23888000,23889000
23888000,23887000
23888000,50012000
21048000,50934000
21048000,21050000
21048000,21046000
21048000,21044000
33645000,54083000
33645000,33228000
26149000,26144000
26149000,26160000
26149000,32922000
26149000,26163000
52048000,51136000
52048000,52047000
52048000,52046000
50252000,25236000
50252000,50252000
20218000,20219000
20218000,20672000
20218000,20216000
20218000,20222000
23167000,23168000
23167000,23162000
23167000,23150000
23167000,23169000
21971000,33379000
21971000,21985000
21971000,21969000
21971000,21971000
51151000,51123000
51151000,22536000
21073000,21051000
21073000,21064000
21073000,21052000
21073000,21045000
20644000,20617000
20644000,20647000
20644000,20643000
25286000,25311000
25286000,25292000
25286000,25313000
25286000,25287000
27001000,27008000
27001000,26899000
27001000,27022000
27001000,27000000
51593000,51741000
51593000,23731000
33358000,21423000
33358000,21453000
33358000,33352000
33358000,51014000
54029000,33679000
54029000,54029000
26904000,51494000
26904000,26906000
26904000,26907000
26904000,26903000
27427000,27433000
27427000,27425000
27427000,27428000
27427000,27416000
21496000,21495000
21496000,21505000
21496000,21507000
23380000,23379000
23380000,23385000
23380000,23383000
23380000,23382000
23757000,23766000
23757000,23761000
23757000,54345000
26018000,32924000
26018000,26311000
26018000,26018000
26018000,26013000
26018000,26313000
33691000,51664000
33691000,33690000
33691000,33674000
33691000,33694000
30041000,25050000
30041000,25045000
30041000,51335000
30041000,25042000
51138000,33443000
51138000,51138000
50240000,25102000
50240000,50240000
24183000,24184000
24183000,24376000
24183000,24174000
23755000,23756000
23755000,23711000
23755000,23739000
22857000,22859000
22857000,22856000
22857000,22860000
22348000,22343000
22348000,22348000
22348000,33498000
22348000,22413000
21474000,21443000
21474000,21732000
21474000,21444000
21474000,21731000
24609000,24613000
24609000,24590000
24609000,24599000
22774000,22775000
22774000,22749000
50217000,24971000
50217000,50217000
33178000,20576000
33178000,52232000
33178000,33178000
33178000,52001000
20939000,20941000
20939000,20942000
20939000,20943000
20939000,20936000
25994000,26002000
25994000,25949000
25994000,26038000
25994000,25995000
27296000,27294000
27296000,27302000
27296000,27299000
27296000,27295000
23664000,23663000
23664000,23668000
23664000,23672000
23664000,23661000
23300000,23301000
23300000,33505000
23300000,23299000
23300000,23303000
33653000,33621000
33653000,51739000
33653000,54353000
33653000,33653000
23626000,23633000
23626000,23612000
23626000,33050000
23626000,33656000
23735000,23736000
23735000,23670000
23735000,23744000
23735000,23733000
34079000,34077000
34079000,34079000
34079000,34088000
34079000,34087000
50228000,24723000
50228000,51268000
27335000,27333000
27335000,27341000
27335000,27336000
27335000,27320000
23806000,23803000
23806000,23814000
23806000,23806000
23806000,23805000
26313000,50574000
26313000,26313000
26313000,26179000
26313000,35004000
26313000,50581000
20151000,20149000
20151000,20152000
20151000,20144000
20151000,20483000
24478000,54007000
24478000,35003000
24478000,50033000
24478000,24480000
34117000,34116000
34117000,34118000
34117000,34117000
34117000,34123000
22643000,22634000
22643000,22625000
22643000,22641000
20808000,20799000
20808000,20807000
20808000,51365000
20808000,20811000
34188000,23795000
34188000,34189000
34188000,23853000
34188000,23819000
23069000,23068000
23069000,33718000
23069000,23067000
20210000,20209000
20210000,20497000
20210000,20157000
20210000,33269000
25330000,25321000
25330000,25332000
25330000,25060000
25330000,25331000
50643000,32996000
50643000,22341000
23495000,23496000
23495000,23492000
25756000,25789000
25756000,25775000
25756000,25755000
26138000,26142000
26138000,25817000
26138000,26137000
26138000,26143000
52012000,50931000
52012000,52014000
52012000,52013000
52012000,52011000
28017000,28019000
28017000,27841000
28017000,28018000
28017000,27657000
26182000,26186000
26182000,26185000
26182000,26181000
26182000,51510000
50785000,28150000
50785000,50785000
24347000,24243000
24347000,24348000
24347000,24239000
26608000,30063000
26608000,26629000
26608000,26602000
26608000,26609000
50077000,23929000
50077000,24251000
50077000,50073000
50077000,50084000
20677000,20498000
20677000,50869000
20677000,33247000
20677000,33310000
20677000,20663000
20677000,28195000
50659000,33017000
50659000,50659000
27034000,27047000
27034000,27051000
27034000,32906000
22255000,22259000
22255000,22260000
22255000,22256000
22255000,22386000
21103000,33307000
21103000,51862000
21103000,21106000
21103000,50924000
52036000,52035000
52036000,21706000
52036000,21858000
52036000,33382000
53046000,34136000
53046000,34135000
52114000,52246000
52114000,52245000
25625000,25608000
25625000,25607000
25625000,25624000
25625000,25628000
23790000,23791000
23790000,23789000
23790000,23844000
23790000,23790000
22397000,22369000
22397000,22362000
22397000,22370000
21955000,33727000
21955000,21953000
21955000,21954000
22821000,22833000
22821000,22819000
22821000,33007000
22821000,22832000
22821000,33013000
24216000,24229000
24216000,24238000
24216000,24228000
24216000,33030000
24216000,28084000
50258000,25247000
50258000,50251000
50907000,28191000
50907000,21287000
22381000,22369000
22381000,22361000
22381000,22383000
22381000,22384000
26791000,26797000
26791000,30763000
26791000,26795000
54239000,51225000
54239000,51271000
54239000,51224000
54239000,51229000
20546000,33172000
20546000,20552000
20546000,20295000
20546000,20555000
20546000,20554000
20491000,20493000
20491000,20485000
20491000,20494000
20491000,20492000
51545000,51252000
51545000,51482000
51545000,51545000
51545000,51985000
22807000,33008000
22807000,32989000
25068000,50211000
25068000,25068000
25068000,25004000
25068000,24949000
21468000,21466000
21468000,21494000
21468000,21508000
21468000,21506000
21725000,21723000
21725000,21739000
